




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of skeletal muscle hypertrophy (GO:1904206)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of plasminogen activation (GO:0010755)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of skeletal muscle hypertrophy (GO:1904205)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cGMP-mediated signaling (GO:0010754)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle hypertrophy (GO:1904204)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cGMP-mediated signaling (GO:0010753)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cGMP-mediated signaling (GO:0010752)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of iodide transport (GO:1904202)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of nitric oxide mediated signal transduction (GO:0010751)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of iodide transport (GO:1904201)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rhodopsin mediated signaling pathway (GO:0016056)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
iodide transmembrane transport (GO:1904200)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitric oxide mediated signal transduction (GO:0010750)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway (GO:0016055)	237	0	.16	-	 < 0.01	1.00E00	1.00E00
organic acid catabolic process (GO:0016054)	190	0	.13	-	 < 0.01	1.00E00	1.00E00
organic acid biosynthetic process (GO:0016053)	236	0	.16	-	 < 0.01	1.00E00	1.00E00
carbohydrate catabolic process (GO:0016052)	85	0	.06	-	 < 0.01	1.00E00	1.00E00
carbohydrate biosynthetic process (GO:0016051)	99	0	.07	-	 < 0.01	1.00E00	1.00E00
cellular response to raffinose (GO:0097403)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
vesicle organization (GO:0016050)	252	0	.17	-	 < 0.01	1.00E00	1.00E00
neuroblast migration (GO:0097402)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptic vesicle lumen acidification (GO:0097401)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-17-mediated signaling pathway (GO:0097400)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
prenylcysteine metabolic process (GO:0030329)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
prenylcysteine catabolic process (GO:0030328)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
prenylated protein catabolic process (GO:0030327)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic limb morphogenesis (GO:0030326)	143	0	.10	-	 < 0.01	1.00E00	1.00E00
adrenal gland development (GO:0030325)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
lung development (GO:0030324)	210	0	.14	-	 < 0.01	1.00E00	1.00E00
respiratory tube development (GO:0030323)	213	0	.15	-	 < 0.01	1.00E00	1.00E00
stabilization of membrane potential (GO:0030322)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
transepithelial chloride transport (GO:0030321)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular monovalent inorganic anion homeostasis (GO:0030320)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of nitric oxide mediated signal transduction (GO:0010749)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of long-chain fatty acid import across plasma membrane (GO:0010748)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of long-chain fatty acid import across plasma membrane (GO:0010747)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of long-chain fatty acid import across plasma membrane (GO:0010746)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage derived foam cell differentiation (GO:0010745)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
cell growth (GO:0016049)	107	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage derived foam cell differentiation (GO:0010743)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
detection of temperature stimulus (GO:0016048)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
macrophage derived foam cell differentiation (GO:0010742)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of fungus (GO:0016046)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
detection of bacterium (GO:0016045)	19	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid catabolic process (GO:0016042)	268	0	.18	-	 < 0.01	1.00E00	1.00E00
melanocyte differentiation (GO:0030318)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
flagellated sperm motility (GO:0030317)	110	0	.08	-	 < 0.01	1.00E00	1.00E00
osteoclast differentiation (GO:0030316)	46	0	.03	-	 < 0.01	1.00E00	1.00E00
poly-N-acetyllactosamine biosynthetic process (GO:0030311)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase A signaling (GO:0010739)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase A signaling (GO:0010738)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
protein kinase A signaling (GO:0010737)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription via serum response element binding (GO:0010735)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein glutathionylation (GO:0010734)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein glutathionylation (GO:0010732)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide biosynthetic process (GO:0010730)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to phosphate starvation (GO:0016036)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
memory T cell proliferation (GO:0061485)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
hematopoietic stem cell homeostasis (GO:0061484)	26	0	.02	-	 < 0.01	1.00E00	1.00E00
viral process (GO:0016032)	148	0	.10	-	 < 0.01	1.00E00	1.00E00
tRNA import into mitochondrion (GO:0016031)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
response to TNF agonist (GO:0061481)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
poly-N-acetyllactosamine metabolic process (GO:0030309)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell growth (GO:0030308)	200	0	.14	-	 < 0.01	1.00E00	1.00E00
cholesterol transport (GO:0030301)	55	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of intestinal cholesterol absorption (GO:0030300)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide biosynthetic process (GO:0010729)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of hydrogen peroxide biosynthetic process (GO:0010728)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrogen peroxide metabolic process (GO:0010727)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide metabolic process (GO:0010726)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of primitive erythrocyte differentiation (GO:0010725)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of definitive erythrocyte differentiation (GO:0010724)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of ferrochelatase activity (GO:0010722)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell development (GO:0010721)	201	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell development (GO:0010720)	363	0	.25	-	 < 0.01	1.00E00	1.00E00
response to anticoagulant (GO:0061476)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol biosynthetic process (GO:0016024)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
T follicular helper cell differentiation (GO:0061470)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial to mesenchymal transition (GO:0010719)	34	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial to mesenchymal transition (GO:0010718)	49	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of epithelial to mesenchymal transition (GO:0010717)	94	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of extracellular matrix disassembly (GO:0010716)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular matrix disassembly (GO:0010715)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen metabolic process (GO:0010714)	34	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen metabolic process (GO:0010713)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of type B pancreatic cell proliferation (GO:0061469)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of collagen metabolic process (GO:0010712)	55	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of collagen catabolic process (GO:0010710)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of inorganic anion transmembrane transport (GO:1903797)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of inorganic anion transmembrane transport (GO:1903796)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of inorganic anion transmembrane transport (GO:1903795)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to lysosome (GO:0061462)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of anion transport (GO:1903793)	59	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of anion transport (GO:1903792)	35	0	.02	-	 < 0.01	1.00E00	1.00E00
guanine nucleotide transmembrane transport (GO:1903790)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolysis from storage polysaccharide through glucose-1-phosphate (GO:0093001)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
globoside biosynthetic process via lactosylceramide (GO:0010707)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ganglioside biosynthetic process via lactosylceramide (GO:0010706)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of amino acid transmembrane transport (GO:1903789)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of norepinephrine secretion (GO:0010701)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of norepinephrine secretion (GO:0010700)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutathione biosynthetic process (GO:1903788)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of glutathione biosynthetic process (GO:1903786)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
retrotrapezoid nucleus neuron differentiation (GO:0061452)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
retrotrapezoid nucleus development (GO:0061451)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
trophoblast cell migration (GO:0061450)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac conduction (GO:1903781)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac conduction (GO:1903780)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
charged-tRNA amino acid modification (GO:0019988)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
connective tissue development (GO:0061448)	220	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac conduction (GO:1903779)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
translesion synthesis (GO:0019985)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to vacuolar membrane (GO:1903778)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell fate commitment (GO:0061445)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of DNA double-strand break processing (GO:1903775)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell development (GO:0061444)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral budding via host ESCRT complex (GO:1903774)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
endocardial cushion cell differentiation (GO:0061443)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of viral budding via host ESCRT complex (GO:1903772)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
renal artery morphogenesis (GO:0061441)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney vasculature development (GO:0061440)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of beta-galactosidase activity (GO:1903771)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of beta-galactosidase activity (GO:1903770)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
kidney vasculature morphogenesis (GO:0061439)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
gene silencing by miRNA (GO:0035195)	40	0	.03	-	 < 0.01	1.00E00	1.00E00
renal system vasculature morphogenesis (GO:0061438)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
post-transcriptional gene silencing by RNA (GO:0035194)	47	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell proliferation in bone marrow (GO:1903769)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
renal system vasculature development (GO:0061437)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of skin barrier (GO:0061436)	30	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion export across plasma membrane (GO:1903766)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of potassium ion export across plasma membrane (GO:1903765)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion export across plasma membrane (GO:1903764)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular response to caloric restriction (GO:0061433)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903762)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bone trabecula morphogenesis (GO:0061430)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903760)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
hatching (GO:0035188)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061428)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of SUMO transferase activity (GO:1903755)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of p38MAPK cascade (GO:1903753)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903751)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide (GO:1903750)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of RIG-I signaling pathway (GO:0039536)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of RIG-I signaling pathway (GO:0039535)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of MDA-5 signaling pathway (GO:0039534)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of MDA-5 signaling pathway (GO:0039533)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039532)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039531)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
MDA-5 signaling pathway (GO:0039530)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
social behavior (GO:0035176)	59	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of protein localization to mitochondrion (GO:1903748)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of protein localization to mitochondrion (GO:1903747)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of anterograde synaptic vesicle transport (GO:1903744)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of anterograde synaptic vesicle transport (GO:1903743)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of anterograde synaptic vesicle transport (GO:1903742)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
RIG-I signaling pathway (GO:0039529)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host apoptotic process (GO:0039526)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
suppression by virus of host autophagy (GO:0039521)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
induction by virus of host autophagy (GO:0039520)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic hemopoiesis (GO:0035166)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to heat stress (GO:0061408)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic hemopoiesis (GO:0035162)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to acidic pH (GO:0061402)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to calcium ion (GO:0061400)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidate phosphatase activity (GO:1903730)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation by virus of host autophagy (GO:0039519)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of plasma membrane organization (GO:1903729)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic-nucleotide-mediated signaling (GO:0019935)	49	0	.03	-	 < 0.01	1.00E00	1.00E00
cGMP-mediated signaling (GO:0019934)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipid metabolic process (GO:1903727)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
cAMP-mediated signaling (GO:0019933)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipid metabolic process (GO:1903726)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of tube size (GO:0035150)	161	0	.11	-	 < 0.01	1.00E00	1.00E00
second-messenger-mediated signaling (GO:0019932)	183	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipid metabolic process (GO:1903725)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of centriole elongation (GO:1903724)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of centriole elongation (GO:1903723)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of centriole elongation (GO:1903722)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of I-kappaB phosphorylation (GO:1903721)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of I-kappaB phosphorylation (GO:1903720)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tube formation (GO:0035148)	176	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of I-kappaB phosphorylation (GO:1903719)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of aerobic respiration (GO:1903715)	35	0	.02	-	 < 0.01	1.00E00	1.00E00
asparagine transmembrane transport (GO:1903713)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cysteine transmembrane transport (GO:1903712)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
spermine transmembrane transport (GO:1903710)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to asymmetrical-dimethyl arginine (GO:0019919)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
hindlimb morphogenesis (GO:0035137)	45	0	.03	-	 < 0.01	1.00E00	1.00E00
forelimb morphogenesis (GO:0035136)	45	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation, to symmetrical-dimethyl arginine (GO:0019918)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uterine gland development (GO:1903709)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid storage (GO:0019915)	43	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of hemopoiesis (GO:1903708)	179	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of hemopoiesis (GO:1903707)	107	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of hemopoiesis (GO:1903706)	383	0	.26	-	 < 0.01	1.00E00	1.00E00
negative regulation of production of siRNA involved in RNA interference (GO:1903704)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
substantia propria of cornea development (GO:1903701)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic forelimb morphogenesis (GO:0035128)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic limb morphogenesis (GO:0035127)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
post-embryonic appendage morphogenesis (GO:0035120)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic spine development (GO:0060999)	62	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic spine development (GO:0060998)	81	0	.06	-	 < 0.01	1.00E00	1.00E00
dendritic spine morphogenesis (GO:0060997)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
dendritic spine development (GO:0060996)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling involved in kidney development (GO:0060995)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter involved in kidney development (GO:0060994)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
kidney morphogenesis (GO:0060993)	89	0	.06	-	 < 0.01	1.00E00	1.00E00
response to fungicide (GO:0060992)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic hindlimb morphogenesis (GO:0035116)	35	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic forelimb morphogenesis (GO:0035115)	36	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic appendage morphogenesis (GO:0035113)	143	0	.10	-	 < 0.01	1.00E00	1.00E00
genitalia morphogenesis (GO:0035112)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid tube assembly involved in organelle fusion (GO:0060989)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lipid tube assembly (GO:0060988)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
endocrine hormone secretion (GO:0060986)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
epicardium-derived cardiac vascular smooth muscle cell differentiation (GO:0060983)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
coronary artery morphogenesis (GO:0060982)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
cell migration involved in coronary angiogenesis (GO:0060981)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
